snapshot_datetime,facility,ed_treatment_spaces,ed_occupied_spaces,inpatient_available_beds,pending_discharges,beds_cleaning,nurses_on_shift,physicians_on_shift,consult_queue,lab_median_tat_minutes,imaging_median_tat_minutes,ems_arrivals_expected,transfer_requests_waiting,synthetic_assumption
2026-05-28 09:00:00,Royal Alexandra Hospital,53,45,8,5,7,37,6,3,121,113,9,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 10:00:00,Royal Alexandra Hospital,38,29,9,21,1,35,3,9,81,121,4,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 11:00:00,Royal Alexandra Hospital,33,33,9,16,5,14,3,1,89,77,0,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 12:00:00,Royal Alexandra Hospital,43,38,10,2,5,18,8,3,78,80,9,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 13:00:00,Royal Alexandra Hospital,32,27,9,5,5,35,6,2,87,109,1,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 14:00:00,Royal Alexandra Hospital,56,49,16,23,5,18,3,1,97,99,6,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 15:00:00,Royal Alexandra Hospital,59,51,12,1,5,30,6,7,127,69,3,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 16:00:00,Royal Alexandra Hospital,32,31,5,17,5,35,6,12,81,189,6,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 17:00:00,Royal Alexandra Hospital,58,57,2,12,7,27,6,8,93,109,6,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 18:00:00,Royal Alexandra Hospital,59,45,9,10,7,28,3,11,44,86,5,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 19:00:00,Royal Alexandra Hospital,59,48,17,6,5,36,10,14,52,121,3,2,Expanded operational feed is synthetic and assumption-based.
2026-05-28 20:00:00,Royal Alexandra Hospital,46,35,7,11,6,16,5,3,129,181,5,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 21:00:00,Royal Alexandra Hospital,40,36,0,14,7,21,4,1,60,173,7,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 22:00:00,Royal Alexandra Hospital,32,26,0,4,7,23,4,8,122,152,3,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 23:00:00,Royal Alexandra Hospital,43,35,7,24,3,38,7,6,115,185,9,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 00:00:00,Royal Alexandra Hospital,31,22,5,7,4,35,7,1,48,158,0,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 01:00:00,Royal Alexandra Hospital,47,34,6,5,0,33,5,4,60,169,2,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 02:00:00,Royal Alexandra Hospital,41,34,2,6,3,27,6,14,48,147,6,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 03:00:00,Royal Alexandra Hospital,54,48,11,23,7,18,12,6,98,90,2,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 04:00:00,Royal Alexandra Hospital,26,26,7,10,3,32,10,7,106,131,4,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 05:00:00,Royal Alexandra Hospital,38,35,0,3,2,19,13,7,99,188,3,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 06:00:00,Royal Alexandra Hospital,51,45,7,17,7,38,3,2,65,183,7,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 07:00:00,Royal Alexandra Hospital,33,33,13,11,1,25,8,9,65,176,2,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 08:00:00,Royal Alexandra Hospital,47,35,8,12,1,21,7,9,111,151,8,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 09:00:00,Royal Alexandra Hospital,54,48,7,7,1,18,13,4,57,93,6,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 10:00:00,Royal Alexandra Hospital,43,41,3,22,5,28,12,6,85,130,7,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 11:00:00,Royal Alexandra Hospital,33,24,17,9,0,30,6,1,67,178,4,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 12:00:00,Royal Alexandra Hospital,56,51,10,22,7,31,8,8,67,111,0,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 13:00:00,Royal Alexandra Hospital,56,48,10,6,4,35,9,11,57,158,5,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 14:00:00,Royal Alexandra Hospital,50,47,12,9,0,22,9,14,50,144,8,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 15:00:00,Royal Alexandra Hospital,30,17,0,5,6,12,4,5,85,101,7,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 16:00:00,Royal Alexandra Hospital,27,23,3,7,0,34,13,9,128,78,0,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 17:00:00,Royal Alexandra Hospital,51,45,4,17,5,27,9,12,79,145,0,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 18:00:00,Royal Alexandra Hospital,42,38,14,10,4,20,11,1,58,162,4,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 19:00:00,Royal Alexandra Hospital,52,47,5,10,2,24,8,4,124,101,5,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 20:00:00,Royal Alexandra Hospital,53,45,10,19,3,17,4,6,92,180,3,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 21:00:00,Royal Alexandra Hospital,40,35,8,16,5,16,11,5,100,120,8,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 22:00:00,Royal Alexandra Hospital,26,19,0,16,6,37,4,3,44,73,0,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 23:00:00,Royal Alexandra Hospital,59,52,2,6,0,27,7,13,45,161,2,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 00:00:00,Royal Alexandra Hospital,34,27,11,25,7,14,5,3,75,62,8,4,Expanded operational feed is synthetic and assumption-based.
2026-05-30 01:00:00,Royal Alexandra Hospital,38,38,15,5,3,39,4,4,47,185,3,4,Expanded operational feed is synthetic and assumption-based.
2026-05-30 02:00:00,Royal Alexandra Hospital,41,41,3,24,0,17,5,9,57,123,6,6,Expanded operational feed is synthetic and assumption-based.
2026-05-30 03:00:00,Royal Alexandra Hospital,60,48,8,9,5,34,7,15,79,165,5,0,Expanded operational feed is synthetic and assumption-based.
2026-05-30 04:00:00,Royal Alexandra Hospital,44,37,13,4,7,20,12,5,93,68,2,0,Expanded operational feed is synthetic and assumption-based.
2026-05-30 05:00:00,Royal Alexandra Hospital,58,48,4,11,5,29,12,1,45,68,9,1,Expanded operational feed is synthetic and assumption-based.
2026-05-30 06:00:00,Royal Alexandra Hospital,55,53,16,8,1,22,7,12,74,165,2,3,Expanded operational feed is synthetic and assumption-based.
2026-05-30 07:00:00,Royal Alexandra Hospital,60,51,17,25,4,38,10,11,121,83,4,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 08:00:00,South Calgary Ambulatory Care Centre,33,28,17,9,5,27,5,11,50,75,6,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 09:00:00,South Calgary Ambulatory Care Centre,26,20,7,18,2,15,3,11,119,132,7,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 10:00:00,South Calgary Ambulatory Care Centre,30,25,2,25,6,36,6,4,45,129,0,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 11:00:00,South Calgary Ambulatory Care Centre,41,39,11,20,6,38,9,4,119,185,8,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 12:00:00,South Calgary Ambulatory Care Centre,30,27,10,19,3,35,8,13,119,117,7,2,Expanded operational feed is synthetic and assumption-based.
2026-05-28 13:00:00,South Calgary Ambulatory Care Centre,29,26,2,4,4,35,11,3,68,60,2,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 14:00:00,South Calgary Ambulatory Care Centre,45,38,4,16,1,13,13,10,96,88,2,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 15:00:00,South Calgary Ambulatory Care Centre,48,42,1,22,7,25,4,4,120,108,7,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 16:00:00,South Calgary Ambulatory Care Centre,32,20,15,20,1,30,12,7,84,176,6,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 17:00:00,South Calgary Ambulatory Care Centre,45,36,4,25,4,28,12,14,65,59,8,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 18:00:00,South Calgary Ambulatory Care Centre,55,49,3,2,3,22,10,13,90,134,0,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 19:00:00,South Calgary Ambulatory Care Centre,51,46,5,19,0,12,4,5,54,175,1,2,Expanded operational feed is synthetic and assumption-based.
2026-05-28 20:00:00,South Calgary Ambulatory Care Centre,48,47,0,12,0,28,6,13,115,62,8,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 21:00:00,South Calgary Ambulatory Care Centre,43,40,4,21,6,38,5,14,56,104,6,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 22:00:00,South Calgary Ambulatory Care Centre,38,37,15,12,6,27,4,11,81,120,2,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 23:00:00,South Calgary Ambulatory Care Centre,30,21,11,1,6,33,12,6,86,78,1,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 00:00:00,South Calgary Ambulatory Care Centre,34,34,10,11,0,31,10,14,113,55,5,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 01:00:00,South Calgary Ambulatory Care Centre,50,40,16,13,1,24,8,4,119,93,0,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 02:00:00,South Calgary Ambulatory Care Centre,47,41,16,16,6,23,5,11,70,118,9,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 03:00:00,South Calgary Ambulatory Care Centre,38,38,14,23,2,32,5,12,87,142,5,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 04:00:00,South Calgary Ambulatory Care Centre,42,42,11,5,2,14,3,5,121,96,9,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 05:00:00,South Calgary Ambulatory Care Centre,48,37,17,2,1,25,10,10,128,185,2,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 06:00:00,South Calgary Ambulatory Care Centre,49,42,0,10,6,30,3,0,50,100,1,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 07:00:00,South Calgary Ambulatory Care Centre,38,34,15,4,3,21,3,1,71,143,0,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 08:00:00,South Calgary Ambulatory Care Centre,32,27,5,1,7,35,10,14,47,93,2,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 09:00:00,South Calgary Ambulatory Care Centre,40,34,5,25,4,27,6,6,88,131,3,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 10:00:00,South Calgary Ambulatory Care Centre,54,42,0,25,5,25,5,6,79,118,5,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 11:00:00,South Calgary Ambulatory Care Centre,53,42,7,15,1,38,13,11,110,141,5,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 12:00:00,South Calgary Ambulatory Care Centre,45,37,1,1,4,35,13,6,105,149,4,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 13:00:00,South Calgary Ambulatory Care Centre,34,31,17,2,6,27,4,3,84,150,8,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 14:00:00,South Calgary Ambulatory Care Centre,59,53,8,1,4,35,7,8,81,75,0,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 15:00:00,South Calgary Ambulatory Care Centre,50,39,15,2,1,16,12,2,51,131,8,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 16:00:00,South Calgary Ambulatory Care Centre,31,29,9,13,5,12,7,9,81,65,5,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 17:00:00,South Calgary Ambulatory Care Centre,59,49,11,20,4,16,4,14,57,103,4,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 18:00:00,South Calgary Ambulatory Care Centre,26,25,10,3,1,15,9,0,55,153,8,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 19:00:00,South Calgary Ambulatory Care Centre,54,45,1,24,4,12,11,8,60,136,3,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 20:00:00,South Calgary Ambulatory Care Centre,33,25,16,3,4,19,5,7,56,55,1,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 21:00:00,South Calgary Ambulatory Care Centre,38,32,7,9,6,14,10,13,96,94,5,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 22:00:00,South Calgary Ambulatory Care Centre,58,52,15,5,6,38,10,12,53,127,4,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 23:00:00,South Calgary Ambulatory Care Centre,50,46,0,13,3,34,3,9,110,155,2,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 00:00:00,South Calgary Ambulatory Care Centre,31,30,15,5,4,14,9,12,98,164,8,6,Expanded operational feed is synthetic and assumption-based.
2026-05-30 01:00:00,South Calgary Ambulatory Care Centre,56,45,9,3,2,21,13,11,114,180,7,6,Expanded operational feed is synthetic and assumption-based.
2026-05-30 02:00:00,South Calgary Ambulatory Care Centre,53,45,3,24,4,30,11,0,113,133,4,6,Expanded operational feed is synthetic and assumption-based.
2026-05-30 03:00:00,South Calgary Ambulatory Care Centre,32,25,17,17,4,32,4,8,79,120,8,0,Expanded operational feed is synthetic and assumption-based.
2026-05-30 04:00:00,South Calgary Ambulatory Care Centre,45,40,3,11,4,13,6,2,95,137,4,5,Expanded operational feed is synthetic and assumption-based.
2026-05-30 05:00:00,South Calgary Ambulatory Care Centre,51,41,11,11,0,12,11,5,46,87,9,0,Expanded operational feed is synthetic and assumption-based.
2026-05-30 06:00:00,South Calgary Ambulatory Care Centre,39,35,12,13,6,12,5,1,50,169,1,0,Expanded operational feed is synthetic and assumption-based.
2026-05-30 07:00:00,South Calgary Ambulatory Care Centre,52,48,15,8,7,19,4,15,109,101,4,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 08:00:00,Stollery Children's Hospital,41,32,1,2,1,22,11,10,69,133,6,2,Expanded operational feed is synthetic and assumption-based.
2026-05-28 09:00:00,Stollery Children's Hospital,34,32,10,25,1,12,4,1,56,144,7,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 10:00:00,Stollery Children's Hospital,48,42,0,6,6,17,3,9,118,86,1,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 11:00:00,Stollery Children's Hospital,43,37,10,4,6,30,7,1,77,128,4,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 12:00:00,Stollery Children's Hospital,41,33,13,5,2,22,11,11,75,87,2,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 13:00:00,Stollery Children's Hospital,28,21,11,13,0,29,4,2,46,81,9,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 14:00:00,Stollery Children's Hospital,46,37,6,7,7,34,5,15,108,189,7,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 15:00:00,Stollery Children's Hospital,39,32,10,7,4,21,12,6,96,113,8,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 16:00:00,Stollery Children's Hospital,61,51,16,7,1,29,11,2,45,62,2,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 17:00:00,Stollery Children's Hospital,36,32,10,5,6,33,5,3,89,167,6,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 18:00:00,Stollery Children's Hospital,55,50,1,23,0,35,3,9,74,141,3,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 19:00:00,Stollery Children's Hospital,59,49,0,16,5,14,13,12,114,120,6,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 20:00:00,Stollery Children's Hospital,57,46,10,6,7,25,3,8,125,144,0,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 21:00:00,Stollery Children's Hospital,44,31,7,15,0,17,8,4,73,98,2,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 22:00:00,Stollery Children's Hospital,30,24,2,12,5,32,3,1,119,116,7,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 23:00:00,Stollery Children's Hospital,35,30,12,6,4,22,5,15,67,91,7,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 00:00:00,Stollery Children's Hospital,46,36,10,15,2,18,11,7,127,59,6,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 01:00:00,Stollery Children's Hospital,34,34,2,8,5,15,6,4,42,61,4,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 02:00:00,Stollery Children's Hospital,29,23,13,18,5,25,4,15,84,176,7,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 03:00:00,Stollery Children's Hospital,31,31,11,5,5,12,8,7,101,109,8,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 04:00:00,Stollery Children's Hospital,32,21,10,2,2,26,7,3,106,94,7,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 05:00:00,Stollery Children's Hospital,50,41,2,24,2,31,6,5,85,92,3,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 06:00:00,Stollery Children's Hospital,42,34,4,19,5,18,9,11,129,122,5,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 07:00:00,Stollery Children's Hospital,53,46,10,19,7,20,5,15,82,160,2,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 08:00:00,Stollery Children's Hospital,47,39,8,18,2,16,6,4,99,140,8,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 09:00:00,Stollery Children's Hospital,34,30,11,13,5,13,7,10,50,172,1,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 10:00:00,Stollery Children's Hospital,33,24,7,23,5,39,6,3,56,99,1,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 11:00:00,Stollery Children's Hospital,54,47,16,5,0,14,8,10,51,179,8,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 12:00:00,Stollery Children's Hospital,59,53,5,22,1,18,5,8,86,60,2,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 13:00:00,Stollery Children's Hospital,38,33,6,1,2,27,6,10,95,133,7,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 14:00:00,Stollery Children's Hospital,40,34,5,17,4,19,8,0,117,108,5,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 15:00:00,Stollery Children's Hospital,51,35,13,3,0,26,11,14,117,68,4,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 16:00:00,Stollery Children's Hospital,47,43,10,22,6,18,7,0,74,154,0,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 17:00:00,Stollery Children's Hospital,55,52,7,25,7,27,6,13,88,106,1,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 18:00:00,Stollery Children's Hospital,47,35,15,5,4,21,10,12,105,170,0,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 19:00:00,Stollery Children's Hospital,57,45,12,23,4,23,4,11,82,86,3,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 20:00:00,Stollery Children's Hospital,46,45,6,23,2,22,5,1,92,144,6,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 21:00:00,Stollery Children's Hospital,43,34,14,2,6,27,4,4,71,131,9,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 22:00:00,Stollery Children's Hospital,51,47,14,14,0,28,11,10,78,171,4,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 23:00:00,Stollery Children's Hospital,38,28,4,20,3,39,10,2,98,184,4,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 00:00:00,Stollery Children's Hospital,46,36,11,10,3,36,6,3,105,169,7,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 01:00:00,Stollery Children's Hospital,26,21,0,20,7,34,9,6,43,116,9,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 02:00:00,Stollery Children's Hospital,39,29,10,15,2,14,5,8,96,65,3,1,Expanded operational feed is synthetic and assumption-based.
2026-05-30 03:00:00,Stollery Children's Hospital,27,23,10,9,7,21,7,2,117,154,0,3,Expanded operational feed is synthetic and assumption-based.
2026-05-30 04:00:00,Stollery Children's Hospital,51,45,6,10,3,13,8,13,114,124,6,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 05:00:00,Stollery Children's Hospital,29,23,10,1,1,39,12,8,123,105,6,6,Expanded operational feed is synthetic and assumption-based.
2026-05-30 06:00:00,Stollery Children's Hospital,32,28,14,7,4,26,9,7,118,79,6,3,Expanded operational feed is synthetic and assumption-based.
2026-05-30 07:00:00,Stollery Children's Hospital,35,30,9,18,0,31,6,2,94,91,4,1,Expanded operational feed is synthetic and assumption-based.
